date,value
1/5/2025,100.12
1/12/2025,101.09
1/19/2025,103.3
1/26/2025,104.85
2/2/2025,105.14
2/9/2025,106.82
2/16/2025,108.77
2/23/2025,109.92
3/2/2025,111.31
3/9/2025,112.19
3/16/2025,114.03
3/23/2025,115.07
3/30/2025,115.79
4/6/2025,117.15
4/13/2025,117.75
4/20/2025,118.01
4/27/2025,119.22
5/4/2025,119.34
5/11/2025,120.67
5/18/2025,120.82
5/25/2025,121.24
6/1/2025,121.47
6/8/2025,122.61
6/15/2025,122.41
6/22/2025,122.63
6/29/2025,122.96
7/6/2025,123.61
7/13/2025,123.84
7/20/2025,124.17
7/27/2025,124.5
8/3/2025,125.53
8/10/2025,124.9
8/17/2025,125.28
8/24/2025,125.63
8/31/2025,126.73
9/7/2025,127.52
9/14/2025,127.68
9/21/2025,128.11
9/28/2025,128.91
10/5/2025,130.36
10/12/2025,131.33
10/19/2025,132.26
10/26/2025,132.86
11/2/2025,134.37
11/9/2025,135.53
11/16/2025,136.84
11/23/2025,138.43
11/30/2025,139.55
12/7/2025,141.15
12/14/2025,142.35
12/21/2025,143.92
12/28/2025,145.55
