transaction_id,date,region,city,outlet_type,sales_channel,customer_type,brand,pack_size_ml,pack_type,promo_flag,promo_type,discount_pct,competitor_price_index,units_sold,base_price_per_unit,gross_sales_value,net_sales_value,stock_at_start,stock_at_end,oos_flag,weather,temp_c,event
TXN_000001,2024-12-31,North,Lucknow,Supermarket,Off-Trade,Retail Chain,Local_Brand_B,500,Bottle,0,None,0.039,1.009,72,123.37,8882.76,8538.39,110,45,0,Sunny,27.4,Sports_Event
TXN_000002,2024-11-18,West,Mumbai,Supermarket,Off-Trade,Modern Trade,Local_Brand_B,330,Bottle,1,Price_Off,0.215,1.078,96,106.7,10243.49,8039.5,147,56,0,Humid,31.5,Concert
TXN_000003,2024-04-08,South,Hyderabad,Bar/Restaurant,On-Trade,HoReCa,Local_Brand_B,650,Bottle,1,Price_Off,0.261,0.919,79,143.69,11351.29,8391.16,134,58,0,Humid,27.7,None
TXN_000004,2024-08-18,South,Kochi,E-commerce,Off-Trade,HoReCa,Heineken,500,Bottle,0,None,,1.017,38,189.54,7202.61,7148.34,66,35,0,Sunny,28.0,None
TXN_000005,2024-01-18,South,Hyderabad,E-commerce,Off-Trade,Retail Chain,Local_Brand_A,1000,Can,0,None,0.017,0.958,39,206.24,8043.2,7906.33,64,25,0,Sunny,29.3,None
TXN_000006,2024-03-24,North,Chandigarh,Convenience Store,Off-Trade,Modern Trade,Kingfisher,330,Bottle,0,None,0.004,1.115,57,135.06,7698.22,7663.79,78,29,0,Cool,23.6,Festival
TXN_000007,2024-04-16,North,Chandigarh,Supermarket,Off-Trade,Modern Trade,Local_Brand_A,500,Bottle,0,None,0.043,0.898,36,138.35,4980.46,4766.8,56,18,0,Cloudy,26.2,None
TXN_000008,2024-05-03,South,Kochi,Supermarket,Off-Trade,Independent Store,Heineken,1000,Draft,1,,0.085,1.047,87,293.45,25529.84,23347.33,103,19,0,Sunny,26.8,None
TXN_000009,2024-02-27,East,Bhubaneswar,Hypermarket,Off-Trade,Independent Store,Local_Brand_B,650,Bottle,0,None,0.044,1.051,72,134.29,9668.77,9245.48,127,56,0,Cool,26.9,Sports_Event
TXN_000010,2024-08-02,West,Surat,Supermarket,Off-Trade,Independent Store,Budweiser,330,Can,0,None,0.006,0.925,32,146.62,4691.91,4665.02,60,24,0,Humid,29.9,None
TXN_000011,2024-08-13,South,Kochi,Bar/Restaurant,On-Trade,Independent Store,Kingfisher,330,Can,1,Price_Off,0.281,1.03,91,137.6,12521.4,8996.97,103,18,0,Sunny,29.1,None
TXN_000012,2024-04-06,South,Bengaluru,Convenience Store,Off-Trade,Independent Store,Heineken,650,Draft,1,Price_Off,0.26,1.011,50,236.48,11824.19,8752.93,70,21,0,Sunny,29.2,None
TXN_000013,2024-04-23,West,Mumbai,Convenience Store,Off-Trade,HoReCa,Local_Brand_B,500,Bottle,0,None,0.025,0.863,34,135.69,4613.44,4498.18,67,42,0,Rainy,27.6,None
TXN_000014,2024-05-06,East,Kolkata,Supermarket,Off-Trade,Independent Store,Heineken,1000,Can,0,None,0.002,0.959,34,267.55,9096.71,9076.66,54,20,0,Cloudy,27.1,None
TXN_000015,2024-02-17,North,Chandigarh,Convenience Store,Off-Trade,Independent Store,Kingfisher,500,Can,1,Display,0.289,1.061,35,166.67,5833.44,4150.48,43,8,0,Sunny,24.9,None
TXN_000016,2024-03-14,West,Ahmedabad,Supermarket,Off-Trade,Retail Chain,Kingfisher,650,Draft,1,Digital_Coupon,0.28,1.001,56,196.83,11022.65,7932.81,78,30,0,Humid,30.0,None
TXN_000017,2024-02-02,West,Ahmedabad,Supermarket,Off-Trade,Independent Store,Local_Brand_A,330,Can,1,Display,0.157,0.947,63,118.55,7468.34,6297.8,92,34,0,Humid,30.0,None
TXN_000018,2024-08-12,South,Bengaluru,Bar/Restaurant,On-Trade,Retail Chain,Kingfisher,500,Draft,0,None,0.003,1.078,58,181.98,10554.85,10522.74,102,48,0,Sunny,27.1,None
TXN_000019,2024-04-21,South,Bengaluru,Hypermarket,Off-Trade,Retail Chain,Heineken,330,Keg,0,None,0.003,0.891,66,160.67,10604.34,10574.33,112,54,0,Humid,29.6,None
TXN_000020,2024-12-05,West,Ahmedabad,Supermarket,Off-Trade,Independent Store,Local_Brand_B,650,Can,0,None,0.046,1.043,51,144.35,7361.62,7024.12,102,47,0,Sunny,28.2,None
TXN_000021,2024-11-30,North,Chandigarh,Supermarket,Off-Trade,Independent Store,Kingfisher,1000,Bottle,0,None,0.009,1.047,41,240.51,9861.1,9774.63,77,32,0,Cloudy,26.4,None
TXN_000022,2024-09-10,South,Bengaluru,Convenience Store,Off-Trade,Retail Chain,Heineken,330,Bottle,0,None,0.039,0.974,31,164.37,5095.36,4894.5,61,39,0,Sunny,29.7,None
TXN_000023,2024-04-06,South,Chennai,Convenience Store,Off-Trade,HoReCa,Heineken,330,Can,0,None,0.005,1.043,23,158.66,3649.23,3632.29,47,21,0,Sunny,28.7,None
TXN_000024,2024-07-27,West,Pune,Supermarket,Off-Trade,Retail Chain,Kingfisher,330,Can,0,None,0.046,0.884,19,133.88,2543.67,2426.56,48,33,0,Humid,33.2,None
TXN_000025,2024-03-09,North,Chandigarh,Bar/Restaurant,On-Trade,Modern Trade,Kingfisher,500,Bottle,1,Digital_Coupon,0.26,1.032,130,162.04,21064.69,15591.03,250,120,0,Cloudy,26.7,Festival
TXN_000026,2024-11-01,North,Jaipur,E-commerce,Off-Trade,Modern Trade,Heineken,650,Draft,1,Digital_Coupon,0.125,0.914,55,223.1,12270.67,10731.79,110,54,0,Sunny,27.1,None
TXN_000027,2024-11-07,South,Hyderabad,Supermarket,Off-Trade,Modern Trade,Budweiser,330,Can,0,None,0.015,1.011,33,151.6,5002.82,4930.1,55,20,0,Cool,24.1,None
TXN_000028,2024-01-03,South,Chennai,Supermarket,Off-Trade,Independent Store,Heineken,330,Can,1,Digital_Coupon,0.085,0.955,59,161.44,9525.13,8717.48,101,37,0,Cloudy,28.6,None
TXN_000029,2024-12-06,West,Surat,Convenience Store,Off-Trade,Independent Store,Kingfisher,1000,Can,1,Bundle,0.086,0.982,45,234.79,10565.7,9651.96,72,36,0,Cool,24.6,None
TXN_000030,2024-02-09,South,Hyderabad,Hypermarket,Off-Trade,Retail Chain,Kingfisher,650,Draft,0,None,0.042,0.897,90,206.59,18592.67,17808.97,116,32,0,Rainy,27.5,Festival
TXN_000031,2024-11-18,East,Guwahati,Hypermarket,Off-Trade,Modern Trade,Budweiser,500,Draft,0,None,0.014,0.978,53,201.2,10663.55,10512.93,101,53,0,Cloudy,28.2,None
TXN_000032,2024-03-25,West,Pune,E-commerce,Off-Trade,Retail Chain,Heineken,1000,Draft,0,None,0.01,0.901,56,303.18,16978.18,16811.02,102,47,0,Sunny,30.3,Sports_Event
TXN_000033,2024-02-17,South,Hyderabad,Supermarket,Off-Trade,HoReCa,Kingfisher,1000,Can,1,Price_Off,0.109,1.072,64,230.47,14750.1,13139.79,85,16,0,Humid,28.0,None
TXN_000034,2024-06-25,West,Pune,Bar/Restaurant,On-Trade,Independent Store,Local_Brand_B,500,Bottle,0,None,0.039,1.069,75,131.87,9890.01,9506.13,132,59,0,Sunny,30.3,None
TXN_000035,2024-05-15,South,Hyderabad,Hypermarket,Off-Trade,Modern Trade,Local_Brand_B,500,Bottle,1,Display,0.077,1.027,88,127.03,11179.03,10320.52,122,38,0,Cloudy,28.6,None
TXN_000036,2024-12-27,South,Bengaluru,Convenience Store,Off-Trade,Independent Store,Budweiser,500,Can,0,None,0.022,1.052,49,174.39,8545.12,8361.38,96,51,0,Cloudy,32.0,Concert
TXN_000037,2024-04-09,West,Mumbai,E-commerce,Off-Trade,Independent Store,Kingfisher,650,Can,0,None,0.035,0.977,22,187.19,4118.29,3975.73,36,17,0,Sunny,,None
TXN_000038,2024-12-14,East,Guwahati,Convenience Store,Off-Trade,Independent Store,Budweiser,650,Can,1,Price_Off,0.142,0.975,126,202.33,25494.13,21877.9,201,75,0,Sunny,30.4,Long_Weekend
TXN_000039,2024-06-29,South,Chennai,Supermarket,Off-Trade,Modern Trade,Heineken,1000,Bottle,1,Bundle,0.069,0.9,134,250.39,33551.87,31236.34,225,97,0,Cloudy,27.5,Sports_Event
TXN_000040,2024-12-24,North,Lucknow,Supermarket,Off-Trade,Modern Trade,Local_Brand_A,500,Bottle,0,None,0.045,0.917,61,136.62,8333.9,7955.08,108,56,0,Cool,23.9,Sports_Event
TXN_000041,2024-12-19,West,Pune,Hypermarket,Off-Trade,Independent Store,Kingfisher,500,Draft,0,None,0.037,0.923,131,178.07,23327.07,22454.93,226,96,0,Sunny,28.9,Long_Weekend
TXN_000042,2024-08-01,East,Bhubaneswar,Convenience Store,Off-Trade,Independent Store,Local_Brand_B,1000,Can,1,Price_Off,0.081,0.969,40,201.02,8040.81,7392.59,59,19,0,Cool,26.1,None
TXN_000043,2024-04-28,West,Pune,Convenience Store,Off-Trade,Independent Store,Local_Brand_B,1000,Bottle,1,Display,0.295,0.977,34,175.46,5965.73,4207.6,55,19,0,Cloudy,29.3,Sports_Event
TXN_000044,2024-12-16,North,Delhi,Supermarket,Off-Trade,Independent Store,Local_Brand_A,650,Bottle,0,None,0.019,0.863,60,154.37,9262.25,9083.57,103,42,0,Sunny,22.3,None
TXN_000045,2024-10-17,North,Lucknow,Hypermarket,Off-Trade,Independent Store,Heineken,330,Bottle,0,None,0.048,1.078,130,159.31,20710.73,19707.63,170,42,0,Cloudy,26.1,Festival
