customer_id,gender,age_group,city,preferred_channel,signup_date,last_order_date,total_orders_last_12m,total_volume_liters_last_12m,total_spend_last_12m_inr,avg_discount_pct,recency_days,frequency_orders_per_month,avg_order_value_inr,loyalty_tier,churn_flag,last_campaign_responded,clv_12m_estimate_inr
CUST_00001,Female,25-34,Delhi,On-Trade,2021-04-19,2024-11-21,5,36.1,6744.35,0.18,40,0.4166666666666667,1348.869730226054,Bronze,0,None,8093.22
CUST_00002,Male,45-54,Hyderabad,Off-Trade,2022-02-24,2023-03-03,2,14.5,2252.63,0.05,669,0.16666666666666666,1126.3144368427816,Bronze,1,None,1802.1
CUST_00003,Female,25-34,Chandigarh,Off-Trade,2023-10-11,2024-04-13,11,79.8,12630.01,0.111,262,0.9166666666666666,1148.182622892489,Silver,1,None,10104.01
CUST_00004,Male,18-24,Pune,On-Trade,2022-02-11,2024-06-11,7,22.0,8561.5,0.217,203,0.5833333333333334,1223.0712538469636,Bronze,1,None,6849.2
CUST_00005,Female,18-24,Chennai,On-Trade,2020-01-25,2024-02-24,11,47.7,10483.98,0.113,311,0.9166666666666666,953.089004264636,Bronze,1,Sports_Promo,8387.18
CUST_00006,Female,45-54,Ahmedabad,Off-Trade,2021-09-01,2022-04-27,3,21.2,3333.47,0.155,979,0.25,1111.1562962812345,Bronze,1,Digital_Coupon,2666.78
CUST_00007,Female,35-44,Kochi,,2021-01-29,2024-10-22,7,31.1,7006.94,0.12,70,0.5833333333333334,1000.9912855726734,Bronze,0,Summer_Fest,8408.33
CUST_00008,Female,25-34,Kochi,On-Trade,2023-10-17,2022-08-25,0,0.0,0.0,0.15,859,0.0,0.0,Bronze,1,None,0.0
CUST_00009,Male,45-54,Surat,On-Trade,2023-11-22,2024-06-26,11,45.9,9604.73,0.159,188,0.9166666666666666,873.1571933493461,Bronze,1,None,7683.78
CUST_00010,Female,35-44,Bhubaneswar,On-Trade,2022-07-02,2024-11-27,15,89.7,14755.46,0.009,34,1.25,983.6972677535155,Silver,0,None,17706.55
CUST_00011,Female,25-34,Patna,Off-Trade,2020-10-08,2023-11-28,2,9.4,2717.96,0.109,399,0.16666666666666666,1358.9793205103397,Bronze,1,Summer_Fest,2174.37
CUST_00012,Female,25-34,Pune,,2023-03-16,2024-08-25,4,28.1,5984.33,0.128,128,0.3333333333333333,1496.0821259794684,Bronze,1,Sports_Promo,4787.46
CUST_00013,Female,35-44,Kochi,On-Trade,2020-03-26,2022-11-03,3,19.7,2185.14,0.178,789,0.25,728.3797572067475,Bronze,1,Digital_Coupon,1748.11
CUST_00014,Male,25-34,Kochi,Off-Trade,2022-09-25,2023-01-08,0,0.0,0.0,0.079,723,0.0,0.0,Bronze,1,Digital_Coupon,0.0
CUST_00015,Male,35-44,Jaipur,Off-Trade,2023-02-14,2024-06-27,6,31.6,6001.25,0.102,187,0.5,1000.2081666319722,Bronze,1,None,4801.0
CUST_00016,Male,35-44,Bengaluru,Off-Trade,2023-05-01,2023-01-31,1,3.1,1365.12,0.113,700,0.08333333333333333,1365.118634881365,Bronze,1,Digital_Coupon,1092.1
CUST_00017,Female,25-34,Patna,On-Trade,2022-10-03,2024-03-13,6,35.3,8259.37,0.022,293,0.5,1376.5614372397606,Bronze,1,None,6607.5
CUST_00018,Female,35-44,Bhubaneswar,On-Trade,2021-02-14,2023-05-22,1,4.1,1399.4,0.148,589,0.08333333333333333,1399.3986006013995,Bronze,1,None,1119.52
CUST_00019,Other,25-34,Lucknow,E-commerce,2023-09-07,2023-09-10,2,14.7,1508.99,0.148,478,0.16666666666666666,754.4946227526885,Bronze,1,Digital_Coupon,1207.19
CUST_00020,Female,35-44,Kolkata,E-commerce,2021-03-15,2024-09-18,10,66.4,7475.09,0.209,104,0.8333333333333334,747.5089252491075,Bronze,1,None,5980.07
CUST_00021,Female,35-44,Mumbai,,2021-09-08,2024-05-11,3,22.3,3136.15,0.051,234,0.25,1045.3829848723383,Bronze,1,Digital_Coupon,2508.92
CUST_00022,Female,55+,Ahmedabad,Off-Trade,2020-02-09,2024-10-09,12,70.3,14575.63,0.017,83,1.0,1214.635732113689,Silver,0,None,17490.76
CUST_00023,Male,18-24,Patna,On-Trade,2020-09-21,2022-09-10,2,9.8,2087.55,0.143,843,0.16666666666666666,1043.774478112761,Bronze,1,Digital_Coupon,1670.04
CUST_00024,Male,18-24,Bengaluru,Off-Trade,2020-11-22,2023-08-28,0,0.0,0.0,0.17,491,0.0,0.0,Bronze,1,None,0.0
CUST_00025,Male,25-34,Delhi,Off-Trade,2022-06-10,2024-04-12,6,19.8,7692.7,0.117,263,0.5,1282.116452980591,Bronze,1,Sports_Promo,6154.16
CUST_00026,Female,25-34,Guwahati,On-Trade,2021-08-26,2024-12-28,7,22.1,8986.17,0.131,3,0.5833333333333334,1283.7383880373732,Bronze,0,Summer_Fest,10783.4
CUST_00027,Male,55+,Guwahati,E-commerce,2020-07-13,2024-03-15,10,33.4,7730.15,0.0,291,0.8333333333333334,773.0149226985078,Bronze,1,None,6184.12
CUST_00028,Female,55+,Chandigarh,E-commerce,2020-03-20,2022-10-21,0,0.0,0.0,0.056,802,0.0,0.0,Bronze,1,Digital_Coupon,0.0
CUST_00029,Male,35-44,Chandigarh,Off-Trade,2023-06-02,2022-06-29,1,4.5,1040.18,0.084,916,0.08333333333333333,1040.1789598210403,Bronze,1,Digital_Coupon,832.14
CUST_00030,Male,18-24,Bengaluru,Off-Trade,2023-04-13,2024-09-27,7,32.4,6903.19,0.152,95,0.5833333333333334,986.1698591185915,Bronze,1,None,5522.55
CUST_00031,Male,35-44,Guwahati,On-Trade,2022-08-31,2022-08-31,2,10.5,1505.06,0.107,853,0.16666666666666666,752.529623735188,Bronze,1,None,1204.05
CUST_00032,Male,45-54,Kolkata,On-Trade,2021-05-05,2022-09-12,1,5.4,927.88,0.041,841,0.08333333333333333,927.879072120928,Bronze,1,None,742.3
CUST_00033,Female,25-34,Chennai,Off-Trade,2023-01-03,2024-12-01,5,38.3,4111.51,0.148,30,0.4166666666666667,822.3018355396329,Bronze,0,None,4933.81
CUST_00034,Male,25-34,Surat,Off-Trade,2023-02-05,2024-11-25,6,35.4,6124.34,0.067,36,0.5,1020.7231632128062,Bronze,0,None,7349.21
CUST_00035,Female,35-44,Bhubaneswar,Off-Trade,2020-09-24,2023-10-28,1,7.8,1189.83,0.118,430,0.08333333333333333,1189.8288101711898,Bronze,1,Sports_Promo,951.86
CUST_00036,Female,35-44,Bhubaneswar,On-Trade,2020-10-28,2024-01-06,10,75.9,11629.4,0.087,360,0.8333333333333334,1162.9398837060116,Bronze,1,Summer_Fest,9303.52
CUST_00037,Female,35-44,Bhubaneswar,E-commerce,2022-10-08,2024-06-11,3,22.8,3821.98,0.187,203,0.25,1273.9929086690304,Bronze,1,None,3057.58
CUST_00038,Male,25-34,Kolkata,On-Trade,2023-07-01,2024-06-16,4,14.9,4243.66,0.087,198,0.3333333333333333,1060.9147347713163,Bronze,1,None,3394.93
CUST_00039,Male,25-34,Jaipur,Off-Trade,2021-12-31,2023-03-22,2,10.3,2134.89,0.149,650,0.16666666666666666,1067.4444662777667,Bronze,1,None,1707.91
CUST_00040,Male,25-34,Hyderabad,Off-Trade,2020-01-10,2024-04-08,6,33.0,5487.96,0.205,267,0.5,914.6598475566921,Bronze,1,None,4390.37
CUST_00041,Male,25-34,Mumbai,Off-Trade,2023-09-19,2024-05-10,8,58.6,9069.76,0.045,235,0.6666666666666666,1133.7198582850178,Bronze,1,None,7255.81
CUST_00042,Female,35-44,Kochi,Off-Trade,2020-08-12,2024-10-06,7,51.6,5259.1,0.063,86,0.5833333333333334,751.2998926714439,Bronze,0,Summer_Fest,6310.92
CUST_00043,Female,25-34,Bhubaneswar,On-Trade,2023-10-17,2023-01-29,3,14.2,2368.32,0.177,702,0.25,789.4397368534211,Bronze,1,Digital_Coupon,1894.66
CUST_00044,Male,18-24,Kolkata,On-Trade,2020-05-20,2022-02-13,3,10.2,2837.01,0.102,1052,0.25,945.6696847767718,Bronze,1,Summer_Fest,2269.61
CUST_00045,Male,25-34,Guwahati,Off-Trade,2020-06-01,2022-03-06,3,23.0,1977.38,0.168,1031,0.25,659.126446957851,Bronze,1,None,1581.9
CUST_00046,Male,18-24,Jaipur,E-commerce,2023-01-25,2023-10-31,2,13.5,2206.18,0.072,427,0.16666666666666666,1103.0894484552757,Bronze,1,Digital_Coupon,1764.94
CUST_00047,Male,18-24,Jaipur,E-commerce,2022-01-17,2024-11-05,7,55.0,7750.87,0.121,56,0.5833333333333334,1107.266984676145,Bronze,0,None,9301.04
CUST_00048,Female,25-34,Bhubaneswar,E-commerce,2023-03-07,2022-12-30,5,33.2,5985.93,0.1,732,0.4166666666666667,1197.185760562848,Bronze,1,None,4788.74
CUST_00049,Male,18-24,Bhubaneswar,On-Trade,2021-10-17,2023-07-31,1,6.5,1258.16,0.178,519,0.08333333333333333,1258.1587418412582,Bronze,1,Sports_Promo,1006.53
CUST_00050,Female,25-34,Lucknow,On-Trade,2021-12-19,2022-04-05,3,23.7,2913.6,0.102,1001,0.25,971.1996762667745,Bronze,1,None,2330.88
CUST_00051,Male,18-24,Bengaluru,On-Trade,2020-10-16,2023-03-14,3,10.7,3222.73,0.177,658,0.25,1074.2429752523415,Bronze,1,Sports_Promo,2578.18
CUST_00052,Male,35-44,Surat,Off-Trade,2020-09-14,2024-05-18,6,47.0,6896.47,0.126,227,0.5,1149.4114750980875,Bronze,1,Sports_Promo,5517.18
CUST_00053,Male,25-34,Guwahati,On-Trade,2021-04-29,2024-06-20,7,32.0,10469.64,0.068,194,0.5833333333333334,1495.6626434767652,Bronze,1,Digital_Coupon,8375.71
CUST_00054,Male,18-24,Jaipur,Off-Trade,2020-12-31,2022-06-25,2,8.1,1464.31,0.079,920,0.16666666666666666,732.1546339226829,Bronze,1,Digital_Coupon,1171.45
CUST_00055,Male,45-54,Surat,E-commerce,2021-06-05,2023-07-30,4,26.3,3378.7,0.182,520,0.3333333333333333,844.6747888313027,Bronze,1,Digital_Coupon,2702.96
CUST_00056,Female,18-24,Kochi,On-Trade,2023-03-13,2024-12-06,13,86.5,11572.45,0.137,25,1.0833333333333333,890.1883930624314,Bronze,0,Sports_Promo,13886.94
CUST_00057,Male,25-34,Jaipur,E-commerce,2021-05-29,2023-05-01,3,18.8,3184.12,0.096,610,0.25,1061.37297954234,Bronze,1,None,2547.3
CUST_00058,Male,18-24,Kolkata,On-Trade,2021-03-22,2024-10-31,9,69.4,11869.49,0.1,61,0.75,1318.832075685325,Bronze,0,Digital_Coupon,14243.39
CUST_00059,Female,45-54,Guwahati,Off-Trade,2023-10-26,2024-10-17,8,52.7,7962.64,0.144,75,0.6666666666666666,995.3298755837657,Bronze,0,Summer_Fest,9555.17
CUST_00060,Male,25-34,Hyderabad,On-Trade,2020-10-30,2024-06-16,12,95.7,13121.38,0.209,198,1.0,1093.4482422126464,Silver,1,Summer_Fest,10497.1
CUST_00061,Male,35-44,Pune,Off-Trade,2023-12-11,2024-04-22,7,44.9,10141.4,0.156,253,0.5833333333333334,1448.7712216041111,Bronze,1,,8113.12
CUST_00062,Male,18-24,Hyderabad,On-Trade,2022-12-03,2023-02-20,3,9.7,2509.72,0.017,680,0.25,836.5730544756484,Bronze,1,Sports_Promo,2007.78
CUST_00063,Female,55+,Chandigarh,Off-Trade,2022-09-01,2024-03-21,12,82.5,8838.74,0.08,285,1.0,736.5616052865329,Bronze,1,Summer_Fest,7070.99
CUST_00064,Female,45-54,Ahmedabad,On-Trade,2020-08-16,2024-06-12,4,13.5,22025.48,0.132,202,0.3333333333333333,1376.592155851961,Bronze,1,Sports_Promo,17620.4
CUST_00065,Female,18-24,Kolkata,Off-Trade,2023-10-05,2024-10-10,7,22.4,7018.19,0.16,82,0.5833333333333334,1002.5984282002245,Bronze,0,None,8421.83
CUST_00066,Male,18-24,Pune,On-Trade,2023-08-28,2022-11-02,2,8.0,2664.28,0.136,790,0.16666666666666666,1332.1393339303331,Bronze,1,None,2131.42
CUST_00067,Other,18-24,Bhubaneswar,Off-Trade,2022-12-13,2023-04-19,1,5.4,1298.12,0.158,622,0.08333333333333333,1298.1187018812982,Bronze,1,Sports_Promo,1038.5
CUST_00068,Female,25-34,Bengaluru,On-Trade,2023-06-10,2022-08-30,0,0.0,0.0,0.109,854,0.0,0.0,Bronze,1,Summer_Fest,0.0
CUST_00069,Male,45-54,Kolkata,On-Trade,2022-09-01,2022-12-30,0,0.0,0.0,0.161,732,0.0,0.0,Bronze,1,Sports_Promo,0.0
CUST_00070,Female,35-44,Kochi,E-commerce,2021-08-04,2024-03-21,6,45.7,8039.77,0.107,285,0.5,1339.9614433397594,Bronze,1,Summer_Fest,6431.82
CUST_00071,Male,25-34,Delhi,Off-Trade,2020-05-09,2024-03-25,7,30.3,10210.81,0.122,281,0.5833333333333334,1458.686934473295,Bronze,1,Summer_Fest,8168.65
CUST_00072,Female,25-34,Hyderabad,E-commerce,2022-03-24,2024-10-16,10,58.4,12856.65,0.03,76,0.8333333333333334,1285.6648714335129,Silver,0,Summer_Fest,15427.98
CUST_00073,Male,25-34,Ahmedabad,On-Trade,2021-06-18,2022-02-13,5,21.0,3035.03,0.109,1052,0.4166666666666667,607.0058785988243,Bronze,1,None,2428.02
CUST_00074,Female,45-54,Guwahati,On-Trade,2023-01-27,2023-09-18,3,16.0,3764.37,0.203,470,0.25,1254.789581736806,Bronze,1,None,3011.5
CUST_00075,Female,45-54,Delhi,,2023-05-02,2024-02-03,13,74.4,17000.54,0.155,332,1.0833333333333333,1307.7337455589427,Silver,1,Summer_Fest,13600.43
CUST_00076,Female,55+,Delhi,Off-Trade,2023-10-28,2022-12-31,2,12.0,2686.54,0.095,731,0.16666666666666666,1343.2693283653357,Bronze,1,Sports_Promo,2149.23
CUST_00077,Female,55+,Pune,On-Trade,2023-04-27,2023-01-03,1,3.8,1167.05,0.125,728,0.08333333333333333,1167.048832951167,Bronze,1,Summer_Fest,933.64
CUST_00078,Male,18-24,Chandigarh,On-Trade,2020-02-04,2022-11-22,0,0.0,0.0,0.09,770,0.0,0.0,Bronze,1,None,0.0
CUST_00079,Female,55+,Chandigarh,Off-Trade,2020-08-01,2024-05-29,13,83.0,8868.66,0.127,216,1.0833333333333333,682.2045629073414,Bronze,1,None,7094.93
CUST_00080,Male,35-44,Pune,Off-Trade,2021-01-05,2023-04-25,3,11.6,1885.83,0.086,616,0.25,628.6097904634031,Bronze,1,None,1508.66
CUST_00081,Male,25-34,Bengaluru,On-Trade,2020-05-13,2024-08-11,9,32.8,12220.24,0.08,142,0.75,1357.8042935773008,Silver,1,Summer_Fest,9776.19
CUST_00082,Male,25-34,Pune,On-Trade,2021-07-06,2024-07-13,7,32.9,4300.96,0.022,171,0.5833333333333334,614.4227693681758,Bronze,1,Digital_Coupon,3440.77
CUST_00083,Male,18-24,Mumbai,On-Trade,2020-06-18,2024-06-15,7,53.7,4284.18,0.151,199,0.5833333333333334,612.0256268534819,Bronze,1,Sports_Promo,3427.34
CUST_00084,Female,25-34,Lucknow,,2022-01-17,2024-05-18,8,61.7,8613.98,0.075,227,0.6666666666666666,1076.7473654065793,Bronze,1,None,6891.18
CUST_00085,Female,35-44,Surat,E-commerce,2020-01-15,2024-10-29,4,15.5,3861.64,0.1,63,0.3333333333333333,965.4097586475602,Bronze,0,Digital_Coupon,4633.97
