outlet_id,month,region,city,outlet_type,channel,heineken_facings,heineken_shelf_share,heineken_cooler_share,monthly_footfall,activation_flag,execution_score,oos_days,heineken_volume_cases,competitor_volume_cases,heineken_revenue_inr,gross_margin_pct
OUT_0001,1/1/2024,North,Delhi,Supermarket,Off-Trade,12,0.170727623,0.200296301,1983,0,65.99748247,2,61,70,8565.812838,0.187907982
OUT_0001,2/1/2024,North,Delhi,Supermarket,Off-Trade,10,0.221798362,0.217037286,2027,0,56.98402911,2,78,86,11327.3234,0.361295698
OUT_0001,3/1/2024,North,Delhi,Supermarket,Off-Trade,7,0.270117517,0.368202131,1754,1,79.0539778,1,121,153,21518.57637,0.267620489
OUT_0001,4/1/2024,North,Delhi,Supermarket,Off-Trade,15,0.205522692,0.077416901,2045,0,89.74701279,1,76,166,12999.18688,0.208384441
OUT_0001,5/1/2024,North,Delhi,Supermarket,Off-Trade,10,0.238836673,0.321416244,2325,0,56.61233349,1,90,135,12994.3019,0.345696753
OUT_0001,6/1/2024,North,Delhi,Supermarket,Off-Trade,9,0.086843769,0.242859339,2375,0,81.36983078,0,61,121,10850.05642,0.204415542
OUT_0001,7/1/2024,North,Delhi,Supermarket,Off-Trade,11,0.247312144,0.299444825,2208,0,69.97982673,2,52,69,7988.798044,0.233779829
OUT_0001,8/1/2024,North,Delhi,Supermarket,Off-Trade,10,0.254165114,0.213138126,2935,0,86.17496242,0,48,87,7328.524588,0.269855208
OUT_0001,9/1/2024,North,Delhi,Supermarket,Off-Trade,13,0.212048769,0.173746461,2004,0,69.40569118,2,55,55,9423.394062,0.283906277
OUT_0001,10/1/2024,North,Delhi,Supermarket,Off-Trade,9,0.180966381,0.324253298,1551,0,67.86848321,1,134,178,21649.46837,0.225963087
OUT_0001,11/1/2024,North,Delhi,Supermarket,Off-Trade,7,0.147168343,0.29603475,1938,0,71.84131626,2,74,132,11649.02992,0.311911624
OUT_0001,12/1/2024,North,Delhi,Supermarket,Off-Trade,9,0.170805989,0.272879914,2248,0,54.95886016,3,131,188,22066.27722,0.254432731
OUT_0002,1/1/2024,East,Patna,Supermarket,Off-Trade,9,0.178172193,0.247383072,2353,0,80.16000068,0,100,108,15765.97795,0.205186865
OUT_0002,2/1/2024,East,Patna,Supermarket,Off-Trade,14,0.239763926,0.330048147,1739,1,71.92096876,0,89,118,14247.53486,0.25366522
OUT_0002,3/1/2024,East,Patna,Supermarket,Off-Trade,9,0.24800557,0.241211859,2130,0,81.88317994,1,95,75,15141.82977,0.183843812
OUT_0002,4/1/2024,East,Patna,Supermarket,Off-Trade,10,0.237367168,0.238924358,1547,0,94.99859651,0,68,55,9609.479197,0.218990735
OUT_0002,5/1/2024,East,Patna,Supermarket,Off-Trade,8,0.206226139,0.233978449,2116,0,67.00939559,1,76,94,13144.51481,0.26464749
OUT_0002,6/1/2024,East,Patna,Supermarket,Off-Trade,15,0.279607959,0.201420755,2028,0,76.00403016,1,144,201,25197.04511,0.316287857
OUT_0002,7/1/2024,East,Patna,Supermarket,Off-Trade,13,0.265098895,0.173359408,1928,0,80.24784245,0,87,118,13149.92582,0.363910304
OUT_0002,8/1/2024,East,Patna,Supermarket,Off-Trade,9,0.21218063,0.222909425,1903,0,90.84126671,1,61,49,8759.219454,0.332006464
OUT_0002,9/1/2024,East,Patna,Supermarket,Off-Trade,4,0.193710454,0.391739269,2475,0,64.94185368,2,41,49,6046.840679,0.189413423
OUT_0002,10/1/2024,East,Patna,Supermarket,Off-Trade,10,0.220403411,0.268064913,1633,0,76.12064515,1,121,96,17861.10845,0.360927236
OUT_0002,11/1/2024,East,Patna,Supermarket,Off-Trade,8,0.27917771,,1459,0,71.42964853,3,62,110,10299.54393,0.222982562
OUT_0002,12/1/2024,East,Patna,Supermarket,Off-Trade,11,0.286415757,0.434669796,2333,1,58.26520979,2,109,207,15538.57578,0.202117959
OUT_0003,1/1/2024,South,Kochi,Supermarket,Off-Trade,6,0.197390497,0.428148807,2311,0,62.81840623,1,97,139,13929.3431,0.319822935
OUT_0003,2/1/2024,South,Kochi,Supermarket,Off-Trade,11,0.231798921,0.12428416,1931,0,83.170566,2,100,153,14676.54548,0.338180184
OUT_0003,3/1/2024,South,Kochi,Supermarket,Off-Trade,9,0.12892057,0.312345495,1200,0,73.28963273,2,95,19,16515.48225,0.283993723
OUT_0003,4/1/2024,South,Kochi,Supermarket,Off-Trade,13,0.239783589,0.249757385,2539,0,75.45528824,1,94,96,15713.30403,0.401147366
OUT_0003,5/1/2024,South,Kochi,Supermarket,Off-Trade,9,0.26007045,0.215512732,2018,1,79.61025656,0,142,201,20668.67457,0.343835766
OUT_0003,6/1/2024,South,Kochi,Supermarket,Off-Trade,15,0.196629046,0.255017409,1585,1,75.4139263,0,78,114,12822.79971,0.253147938
OUT_0003,7/1/2024,South,Kochi,Supermarket,Off-Trade,6,0.265268821,0.185057237,2377,0,74.27527156,3,48,75,6809.657608,0.24979233
OUT_0003,8/1/2024,South,Kochi,Supermarket,Off-Trade,5,0.158525184,0.171520202,2036,0,77.86548625,1,76,91,12947.04226,0.327246941
OUT_0003,9/1/2024,South,Kochi,Supermarket,Off-Trade,9,0.359760802,0.258080921,1954,0,51.74941733,3,53,69,9327.73258,0.237435765
OUT_0003,10/1/2024,South,Kochi,Supermarket,Off-Trade,8,0.151480629,0.17272509,2074,0,82.85858691,0,94,155,13509.21129,0.295347363
OUT_0003,11/1/2024,South,Kochi,Supermarket,Off-Trade,7,0.26382623,0.194273855,2127,0,70.01265047,2,89,144,15848.18623,0.191529121
OUT_0003,12/1/2024,South,Kochi,Supermarket,Off-Trade,11,,0.236810991,2133,0,71.54510652,1,77,104,12909.10726,0.269674818
OUT_0004,1/1/2024,West,Ahmedabad,Bar,On-Trade,8,0.349778878,0.245093141,772,1,79.33097019,1,46,53,7171.756577,0.279267015
OUT_0004,2/1/2024,West,Ahmedabad,Bar,On-Trade,10,0.179677376,0.170848765,1794,0,76.0343674,1,50,74,8846.145464,0.27296419
OUT_0004,3/1/2024,West,Ahmedabad,Bar,On-Trade,7,0.192838229,0.376192109,1171,0,71.8678696,2,77,131,10829.19046,0.271765219
OUT_0004,4/1/2024,West,Ahmedabad,Bar,On-Trade,11,0.286330271,0.236197973,1417,0,78.09897664,1,46,64,8273.49561,0.278197297
