week_start,dc_id,region,sku,forecast_demand_cases,actual_demand_cases,opening_inventory_cases,production_cases,inbound_cases,closing_inventory_cases,lost_sales_cases,service_level_pct,avg_lead_time_days,capacity_utilization_pct,expedite_flag
2024-01-01,DC_001,South,Heineken_330_Can,876.0,744,921,535,322,1034,0,1.0,4.731785835008552,0.7090936754071387,0
2024-01-08,DC_001,South,Heineken_330_Can,845.0,538,665,581,179,887,0,1.0,4.352620141571761,0.5966230018448528,0
2024-01-15,DC_001,South,Heineken_330_Can,997.0,732,1028,413,106,815,0,1.0,5.619572005414069,0.7540540747805192,0
2024-01-22,DC_001,South,Heineken_330_Can,733.0,674,805,227,470,828,0,1.0,6.44794785683024,0.8377649764851594,0
2024-01-29,DC_001,South,Heineken_330_Can,775.0,826,909,221,217,521,0,1.0,4.249702464736099,0.8380495418983869,0
2024-02-05,DC_001,South,Heineken_330_Can,528.0,553,850,792,310,1399,0,1.0,5.52312696477262,0.8155223189424218,0
2024-02-12,DC_001,South,Heineken_330_Can,939.0,1095,1375,663,386,1329,0,1.0,6.403669286702386,0.6414176243768401,0
2024-02-19,DC_001,South,Heineken_330_Can,970.0,1191,1475,860,205,1349,0,1.0,5.09201356454804,0.9161218805287277,0
2024-02-26,DC_001,South,Heineken_330_Can,987.0,876,979,756,259,1118,0,1.0,4.568544627666485,0.7612377461354783,0
2024-03-04,DC_001,South,Heineken_330_Can,912.0,783,834,686,459,1196,0,1.0,6.537250641711575,0.785561918065493,0
2024-03-11,DC_001,South,Heineken_330_Can,736.0,727,1025,521,352,1171,0,1.0,4.563736049355333,0.8179844367142579,0
2024-03-18,DC_001,South,Heineken_330_Can,968.0,1004,1195,553,452,1196,0,1.0,2.2506861876800817,0.5873580645931634,0
2024-03-25,DC_001,South,Heineken_330_Can,,585,838,532,168,953,0,1.0,3.5093220141872643,0.8266789165075976,0
2024-04-01,DC_001,South,Heineken_330_Can,902.0,1046,1119,478,363,914,0,1.0,5.245854155037885,0.7178943673572107,0
2024-04-08,DC_001,South,Heineken_330_Can,710.0,568,758,488,228,906,0,1.0,6.371328041418455,0.945843597243158,0
2024-04-15,DC_001,South,Heineken_330_Can,701.0,535,795,520,88,868,0,1.0,6.962101072379051,0.7448381562914232,0
2024-04-22,DC_001,South,Heineken_330_Can,682.0,939,1024,462,416,963,0,1.0,5.031486094354774,0.6822192503802965,0
2024-04-29,DC_001,South,Heineken_330_Can,964.0,1294,1566,252,168,692,0,1.0,6.972622012454956,0.7648817029028286,0
2024-05-06,DC_001,South,Heineken_330_Can,711.0,919,1189,612,291,1173,0,1.0,5.403466062913093,0.8048018711618761,0
2024-05-13,DC_001,South,Heineken_330_Can,953.0,1028,1166,843,306,1287,0,1.0,2.616380682983415,0.8849821279723855,0
2024-05-20,DC_001,South,Heineken_330_Can,903.0,962,1089,676,359,1162,0,1.0,4.73128122401962,0.8157552929989575,0
2024-05-27,DC_001,South,Heineken_330_Can,756.0,543,748,227,244,676,0,1.0,3.6513390673974166,0.7221072813744832,0
2024-06-03,DC_001,South,Heineken_330_Can,784.0,799,928,581,443,1153,0,1.0,2.725392296917823,0.7603259659705625,0
2024-06-10,DC_001,South,Heineken_330_Can,870.0,935,1000,393,285,743,0,1.0,,0.7727363219045563,0
2024-06-17,DC_001,South,Heineken_330_Can,902.0,898,1190,489,285,1066,0,1.0,5.527504782650517,0.7924675665970671,0
2024-06-24,DC_001,South,Heineken_330_Can,646.0,644,776,721,66,919,0,1.0,2.1998952250330888,0.7528616243936748,0
2024-01-01,DC_001,South,Heineken_650_Bottle,659.0,540,704,425,216,805,0,1.0,5.478150641842266,0.5906107177582102,0
2024-01-08,DC_001,South,Heineken_650_Bottle,551.0,588,824,579,287,1102,0,1.0,7.274788239204045,0.6227840729708521,0
2024-01-15,DC_001,South,Heineken_650_Bottle,584.0,595,881,409,229,924,0,1.0,,0.6902043350348143,0
2024-01-22,DC_001,South,Heineken_650_Bottle,647.0,575,749,316,218,708,0,1.0,3.7631032251256626,0.7114023389151435,0
2024-01-29,DC_001,South,Heineken_650_Bottle,721.0,654,775,365,220,706,0,1.0,6.3778629453069815,0.9181709817269029,0
2024-02-05,DC_001,South,Heineken_650_Bottle,391.0,319,443,241,112,477,0,1.0,7.533785030665849,0.7765854812023208,0
2024-02-12,DC_001,South,Heineken_650_Bottle,495.0,355,426,377,94,542,0,1.0,4.861605369027483,0.8326866304005259,0
2024-02-19,DC_001,South,Heineken_650_Bottle,666.0,705,758,332,203,588,0,1.0,5.911291699501036,0.7918297073281463,0
2024-02-26,DC_001,South,Heineken_650_Bottle,683.0,669,867,447,218,863,0,1.0,6.881511447285963,0.6712233966141796,0
2024-03-04,DC_001,South,Heineken_650_Bottle,458.0,584,879,402,194,891,0,1.0,6.049819609035788,0.7105880562290895,0
2024-03-11,DC_001,South,Heineken_650_Bottle,652.0,602,703,435,202,738,0,1.0,5.0923557284789025,0.682003377250247,0
2024-03-18,DC_001,South,Heineken_650_Bottle,625.0,870,1046,178,193,547,0,1.0,5.4655849471663895,0.5250041401674481,0
2024-03-25,DC_001,South,Heineken_650_Bottle,568.0,772,839,215,238,520,0,1.0,4.009518969558362,0.6637332733213702,0
2024-04-01,DC_001,South,Heineken_650_Bottle,558.0,579,667,349,168,605,0,1.0,4.451524453668806,0.7761590269735986,0
2024-04-08,DC_001,South,Heineken_650_Bottle,668.0,728,982,430,289,973,0,1.0,6.233639468343266,0.8722188504736561,0
